,PA01H:CO,AUB:CO,PA04C:CO,A1:CO,BASCH:CO,AUT:CO,OBJECTID
,PARIS 1er Les Halles,AUBERVILLIERS,Paris Centre,Autoroute A1 - Saint-Denis,Place Victor Basch,Boulevard Péripherique Auteuil,0
,PA01H,AUB,PA04C,A1,BASCH,AUT,1
,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,2
,CO,CO,CO,CO,CO,CO,3
,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,4
2019/07/25 16:00:00+00,,0.226000,,0.371000,,0.411000,4940
2019/07/25 17:00:00+00,,0.268000,,0.381000,,0.531000,4941
2019/07/25 18:00:00+00,,0.297000,,0.293000,,0.492000,4942
2019/07/25 19:00:00+00,,0.331000,,0.415000,,0.438000,4943
2019/07/25 20:00:00+00,,0.356000,,0.423000,,0.446000,4944
2019/07/25 21:00:00+00,,0.291000,,0.437000,,0.549000,4945
2019/07/25 22:00:00+00,,0.300000,,0.402000,,0.548000,4946
2019/07/25 23:00:00+00,,0.365000,,0.272000,,0.543000,4947
2019/07/26 00:00:00+00,,0.305000,,0.239000,,0.528000,4948
2019/07/26 01:00:00+00,,0.306000,0.139000,0.222000,,0.411000,4949
2019/07/26 02:00:00+00,,0.286000,0.133000,0.172000,,0.346000,4950
2019/07/26 03:00:00+00,,0.280000,0.141000,0.245000,,0.349000,4951
2019/07/26 04:00:00+00,,0.262000,0.179000,0.308000,,0.299000,4952
2019/07/26 05:00:00+00,,0.189000,0.151000,0.326000,,0.307000,4953
2019/07/26 06:00:00+00,,0.140000,0.140000,0.336000,,0.363000,4954
2019/07/26 07:00:00+00,,0.138000,0.155000,0.357000,,0.458000,4955
2019/07/26 08:00:00+00,,0.129000,0.182000,0.383000,,0.500000,4956
2019/07/26 09:00:00+00,,0.111000,0.184000,0.344000,,0.410000,4957
2019/07/26 10:00:00+00,,0.112000,0.195000,0.321000,,0.467000,4958
2019/07/26 11:00:00+00,,,0.173000,0.347000,,0.417000,4959
2019/07/26 12:00:00+00,,,0.166000,0.352000,,0.436000,4960
2019/07/26 13:00:00+00,,,0.163000,0.355000,,0.394000,4961
2019/07/26 14:00:00+00,,0.262000,0.178000,0.376000,,0.409000,4962
2019/07/26 15:00:00+00,,0.254000,0.173000,0.435000,,0.452000,4963
2019/07/26 16:00:00+00,,0.265000,0.155000,0.437000,,0.505000,4964
2019/07/26 17:00:00+00,,0.265000,0.168000,0.394000,,0.550000,4965
2019/07/26 18:00:00+00,,0.236000,0.183000,0.309000,,0.512000,4966
2019/07/26 19:00:00+00,,0.167000,0.177000,0.351000,,0.393000,4967
2019/07/26 20:00:00+00,,0.135000,0.184000,0.253000,,0.373000,4968
2019/07/26 21:00:00+00,,0.148000,0.170000,0.231000,,0.313000,4969
2019/07/26 22:00:00+00,,0.118000,0.169000,0.242000,,0.361000,4970
2019/07/26 23:00:00+00,,0.164000,0.192000,0.197000,,0.294000,4971
2019/07/27 00:00:00+00,,0.121000,0.168000,0.203000,,0.302000,4972
2019/07/27 01:00:00+00,,0.089000,0.090000,0.254000,,0.248000,4973
2019/07/27 02:00:00+00,,0.294000,0.089000,0.176000,,0.205000,4974
2019/07/27 03:00:00+00,,0.254000,0.076000,0.182000,,0.190000,4975
2019/07/27 04:00:00+00,,0.247000,0.069000,0.169000,,0.188000,4976
2019/07/27 05:00:00+00,,0.236000,0.066000,0.172000,,0.205000,4977
2019/07/27 06:00:00+00,,0.244000,0.074000,0.212000,,0.244000,4978
2019/07/27 07:00:00+00,,0.245000,0.085000,0.261000,,0.220000,4979
2019/07/27 08:00:00+00,,0.223000,0.083000,0.237000,,0.261000,4980
2019/07/27 09:00:00+00,,0.250000,0.089000,0.259000,,0.294000,4981
2019/07/27 10:00:00+00,,0.255000,0.091000,0.314000,,0.309000,4982
2019/07/27 11:00:00+00,,0.238000,0.088000,0.322000,,0.302000,4983
2019/07/27 12:00:00+00,,0.239000,0.085000,0.282000,,0.306000,4984
2019/07/27 13:00:00+00,,0.230000,0.081000,0.280000,,0.281000,4985
2019/07/27 14:00:00+00,,0.221000,0.082000,0.285000,,0.294000,4986
2019/07/27 15:00:00+00,,0.196000,0.081000,0.262000,,0.328000,4987
2019/07/27 16:00:00+00,,0.179000,0.087000,0.290000,,0.306000,4988
2019/07/27 17:00:00+00,,0.211000,0.090000,0.256000,,0.285000,4989
2019/07/27 18:00:00+00,,0.221000,0.086000,0.263000,,0.284000,4990
2019/07/27 19:00:00+00,,0.251000,0.089000,0.271000,,0.340000,4991
2019/07/27 20:00:00+00,,0.191000,0.083000,0.278000,,0.275000,4992
2019/07/27 21:00:00+00,,0.218000,0.076000,0.270000,,0.301000,4993
2019/07/27 22:00:00+00,,0.224000,0.079000,0.248000,,0.267000,4994
2019/07/27 23:00:00+00,,0.231000,0.078000,0.212000,,0.267000,4995
2019/07/28 00:00:00+00,,0.218000,0.063000,0.254000,,0.279000,4996
2019/07/28 01:00:00+00,,0.205000,0.074000,0.174000,,0.225000,4997
2019/07/28 02:00:00+00,,0.202000,0.078000,0.194000,,0.207000,4998
2019/07/28 03:00:00+00,,0.199000,0.072000,0.180000,,0.207000,4999
2019/07/28 04:00:00+00,,0.192000,0.075000,0.345000,,0.172000,5000
2019/07/28 05:00:00+00,,0.201000,0.088000,0.220000,,0.223000,5001
2019/07/28 06:00:00+00,,0.195000,0.088000,0.181000,,0.185000,5002
2019/07/28 07:00:00+00,,0.198000,0.097000,0.225000,,0.217000,5003
2019/07/28 08:00:00+00,,0.191000,0.103000,0.293000,,0.238000,5004
2019/07/28 09:00:00+00,,0.179000,0.089000,0.252000,,0.252000,5005
2019/07/28 10:00:00+00,,0.154000,0.085000,0.263000,,0.265000,5006
2019/07/28 11:00:00+00,,0.149000,0.088000,0.303000,,0.297000,5007
2019/07/28 12:00:00+00,,0.151000,0.079000,0.330000,,0.282000,5008
2019/07/28 13:00:00+00,,0.149000,0.083000,0.333000,,0.298000,5009
2019/07/28 14:00:00+00,,0.178000,0.074000,0.264000,,0.295000,5010
2019/07/28 15:00:00+00,,0.188000,0.059000,0.364000,,0.284000,5011
2019/07/28 16:00:00+00,,0.189000,0.050000,0.281000,,0.286000,5012
2019/07/28 17:00:00+00,,0.214000,0.045000,0.292000,,0.323000,5013
2019/07/28 18:00:00+00,,0.233000,0.061000,0.299000,,0.363000,5014
2019/07/28 19:00:00+00,,0.238000,0.073000,0.261000,,0.377000,5015
2019/07/28 20:00:00+00,,0.269000,0.074000,0.333000,,0.572000,5016
2019/07/28 21:00:00+00,,0.281000,0.076000,0.261000,,0.670000,5017
2019/07/28 22:00:00+00,,0.281000,0.072000,0.215000,,0.506000,5018
2019/07/28 23:00:00+00,,0.273000,0.074000,0.169000,,0.650000,5019
2019/07/29 00:00:00+00,,0.291000,0.070000,0.343000,,0.434000,5020
2019/07/29 01:00:00+00,,0.266000,0.067000,0.167000,,0.379000,5021
2019/07/29 02:00:00+00,,0.252000,0.068000,0.192000,,0.422000,5022
2019/07/29 03:00:00+00,,0.227000,0.131000,0.179000,,0.310000,5023
2019/07/29 04:00:00+00,,0.257000,0.075000,0.243000,,0.383000,5024
2019/07/29 05:00:00+00,,0.351000,0.077000,0.323000,,0.538000,5025
2019/07/29 06:00:00+00,,0.375000,0.108000,0.369000,,0.686000,5026
2019/07/29 07:00:00+00,,0.285000,0.151000,0.463000,,0.486000,5027
2019/07/29 08:00:00+00,,0.281000,0.172000,0.317000,,0.527000,5028
2019/07/29 09:00:00+00,,0.196000,0.152000,0.278000,,0.344000,5029
2019/07/29 10:00:00+00,,0.137000,0.138000,0.305000,,0.318000,5030
2019/07/29 11:00:00+00,,0.141000,0.112000,0.324000,,0.293000,5031
2019/07/29 12:00:00+00,,0.129000,0.049000,0.302000,,0.315000,5032
2019/07/29 13:00:00+00,,0.148000,0.042000,0.270000,,0.326000,5033
2019/07/29 14:00:00+00,,0.160000,0.014000,0.330000,,0.334000,5034
2019/07/29 15:00:00+00,,0.141000,0.024000,0.335000,,0.340000,5035
2019/07/29 16:00:00+00,,0.137000,0.021000,0.341000,,0.391000,5036
2019/07/29 17:00:00+00,,0.151000,0.142000,0.485000,,0.498000,5037
2019/07/29 18:00:00+00,,0.166000,0.088000,0.383000,,0.486000,5038
2019/07/29 19:00:00+00,,0.202000,0.266000,0.383000,,0.496000,5039
2019/07/29 20:00:00+00,,0.251000,0.189000,0.404000,,0.499000,5040
2019/07/29 21:00:00+00,,0.281000,0.203000,0.402000,,0.450000,5041
2019/07/29 22:00:00+00,,0.325000,0.303000,0.459000,,0.825000,5042
2019/07/29 23:00:00+00,,0.234000,0.368000,0.394000,,0.619000,5043
2019/07/30 00:00:00+00,,0.234000,0.232000,0.339000,,0.416000,5044
2019/07/30 01:00:00+00,,0.188000,0.123000,0.228000,,0.211000,5045
2019/07/30 02:00:00+00,,0.149000,0.116000,0.192000,,0.147000,5046
2019/07/30 03:00:00+00,,0.119000,0.097000,0.185000,,0.123000,5047
2019/07/30 04:00:00+00,,0.097000,0.131000,0.244000,,0.136000,5048
2019/07/30 05:00:00+00,,0.094000,0.123000,0.323000,,0.183000,5049
2019/07/30 06:00:00+00,,0.069000,0.191000,0.326000,,0.224000,5050
2019/07/30 07:00:00+00,,,0.128000,0.562000,,0.322000,5051
2019/07/30 08:00:00+00,,,0.128000,0.499000,,0.329000,5052
2019/07/30 09:00:00+00,,,0.119000,0.324000,,,5053
2019/07/30 10:00:00+00,,,0.103000,0.335000,,,5054
2019/07/30 11:00:00+00,,,0.084000,0.315000,,,5055
2019/07/30 12:00:00+00,,,0.087000,0.379000,,,5056
2019/07/30 13:00:00+00,,,0.113000,0.372000,,0.304000,5057
2019/07/30 14:00:00+00,,0.191000,0.105000,0.491000,,0.358000,5058
2019/07/30 15:00:00+00,,0.178000,0.111000,0.424000,,0.384000,5059
2019/07/30 16:00:00+00,,0.155000,0.105000,0.528000,,0.374000,5060
2019/07/30 17:00:00+00,,0.194000,0.107000,0.655000,,0.462000,5061
2019/07/30 18:00:00+00,,0.173000,0.133000,0.492000,,0.526000,5062
2019/07/30 19:00:00+00,,0.195000,0.143000,0.500000,,0.467000,5063
2019/07/30 20:00:00+00,,0.223000,0.145000,0.486000,,0.409000,5064
2019/07/30 21:00:00+00,,0.187000,0.133000,0.401000,,0.465000,5065
2019/07/30 22:00:00+00,,0.125000,0.113000,0.289000,,0.401000,5066
2019/07/30 23:00:00+00,,0.112000,0.096000,0.262000,,0.280000,5067
2019/07/31 00:00:00+00,,0.086000,0.095000,0.234000,,0.246000,5068
2019/07/31 01:00:00+00,,0.107000,0.051000,0.130000,,0.183000,5069
2019/07/31 02:00:00+00,,0.161000,0.053000,0.149000,,0.177000,5070
2019/07/31 03:00:00+00,,0.129000,0.053000,0.192000,,0.164000,5071
2019/07/31 04:00:00+00,,0.095000,0.053000,0.224000,,0.176000,5072
2019/07/31 05:00:00+00,,0.122000,0.057000,0.353000,,0.231000,5073
2019/07/31 06:00:00+00,,0.090000,0.062000,0.470000,,0.302000,5074
2019/07/31 07:00:00+00,,0.113000,0.068000,0.702000,,0.432000,5075
2019/07/31 08:00:00+00,,0.155000,0.098000,0.620000,,0.502000,5076
2019/07/31 09:00:00+00,,0.117000,0.077000,0.446000,,0.348000,5077
2019/07/31 10:00:00+00,,0.117000,0.078000,0.419000,,0.346000,5078
2019/07/31 11:00:00+00,,0.101000,0.069000,0.445000,,0.292000,5079
2019/07/31 12:00:00+00,,0.097000,0.054000,0.396000,,0.330000,5080
2019/07/31 13:00:00+00,,0.093000,0.055000,0.411000,,0.351000,5081
2019/07/31 14:00:00+00,,,0.055000,0.508000,,0.323000,5082
2019/07/31 15:00:00+00,,,0.053000,0.493000,,0.356000,5083
2019/07/31 16:00:00+00,,0.194000,0.057000,0.566000,,0.452000,5084
2019/07/31 17:00:00+00,,0.220000,0.067000,0.535000,,0.537000,5085
2019/07/31 18:00:00+00,,0.211000,0.075000,0.606000,,0.573000,5086
2019/07/31 19:00:00+00,,0.235000,0.088000,0.512000,,0.655000,5087
2019/07/31 20:00:00+00,,0.240000,0.104000,0.305000,,0.662000,5088
2019/07/31 21:00:00+00,,0.214000,0.070000,0.311000,,0.612000,5089
2019/07/31 22:00:00+00,,0.239000,0.057000,0.249000,,0.466000,5090
2019/07/31 23:00:00+00,,0.236000,0.077000,0.232000,,0.536000,5091
2019/08/01 00:00:00+00,,0.239000,0.110000,0.273000,,0.550000,5092
2019/08/01 01:00:00+00,,0.264000,0.141000,0.189000,,0.343000,5093
2019/08/01 02:00:00+00,,0.222000,0.160000,0.210000,,0.327000,5094
2019/08/01 03:00:00+00,,0.232000,0.204000,0.359000,,0.276000,5095
2019/08/01 04:00:00+00,,0.227000,0.127000,0.305000,,0.324000,5096
2019/08/01 05:00:00+00,,0.205000,0.137000,0.312000,,0.502000,5097
2019/08/01 06:00:00+00,,0.244000,0.150000,0.383000,,0.641000,5098
2019/08/01 07:00:00+00,,0.206000,0.167000,0.485000,,0.543000,5099
2019/08/01 08:00:00+00,,0.165000,0.150000,0.426000,,0.676000,5100
2019/08/01 09:00:00+00,,0.135000,0.174000,0.339000,,0.440000,5101
2019/08/01 10:00:00+00,,0.142000,,0.430000,,0.421000,5102
2019/08/01 11:00:00+00,,0.126000,0.134000,0.566000,,0.390000,5103
2019/08/01 12:00:00+00,,0.083000,0.122000,0.396000,,0.358000,5104
2019/08/01 13:00:00+00,,0.043000,0.071000,0.449000,,0.330000,5105
2019/08/01 14:00:00+00,,0.139000,0.058000,0.303000,,0.346000,5106
2019/08/01 15:00:00+00,,0.111000,0.068000,0.322000,,0.403000,5107
2019/08/01 16:00:00+00,,0.132000,0.078000,0.387000,,0.432000,5108
2019/08/01 17:00:00+00,,0.148000,0.095000,0.365000,,0.614000,5109
2019/08/01 18:00:00+00,,0.103000,0.113000,0.313000,,0.742000,5110
2019/08/01 19:00:00+00,,0.160000,0.132000,0.319000,,0.550000,5111
2019/08/01 20:00:00+00,,0.181000,0.124000,0.292000,,0.442000,5112
2019/08/01 21:00:00+00,,0.135000,0.119000,0.213000,,0.253000,5113
2019/08/01 22:00:00+00,,0.211000,0.128000,0.204000,,0.525000,5114
2019/08/01 23:00:00+00,,0.153000,0.119000,0.195000,,0.212000,5115
2019/08/02 00:00:00+00,,0.151000,0.108000,0.166000,,0.204000,5116
2019/08/02 01:00:00+00,,0.092000,0.095000,0.145000,,0.192000,5117
2019/08/02 02:00:00+00,,0.194000,0.091000,0.133000,,0.216000,5118
2019/08/02 03:00:00+00,,0.201000,0.091000,0.154000,,0.222000,5119
2019/08/02 04:00:00+00,,0.165000,0.081000,0.236000,,0.282000,5120
2019/08/02 05:00:00+00,,0.166000,0.092000,0.225000,,0.443000,5121
2019/08/02 06:00:00+00,,0.146000,0.098000,0.318000,,0.479000,5122
2019/08/02 07:00:00+00,,0.190000,0.107000,0.355000,,0.440000,5123
2019/08/02 08:00:00+00,,0.169000,0.133000,0.355000,,0.521000,5124
2019/08/02 09:00:00+00,,0.191000,0.135000,0.308000,,0.429000,5125
2019/08/02 10:00:00+00,,0.155000,0.115000,0.319000,,0.387000,5126
2019/08/02 11:00:00+00,,0.141000,0.096000,0.334000,,0.413000,5127
2019/08/02 12:00:00+00,,0.139000,0.085000,0.385000,,0.359000,5128
2019/08/02 13:00:00+00,,0.119000,0.069000,0.378000,,0.402000,5129
2019/08/02 14:00:00+00,,0.167000,0.055000,0.463000,,0.399000,5130
2019/08/02 15:00:00+00,,0.165000,0.060000,0.309000,,0.424000,5131
2019/08/02 16:00:00+00,,0.143000,0.062000,0.322000,,0.657000,5132
2019/08/02 17:00:00+00,,0.147000,0.080000,0.466000,,0.559000,5133
2019/08/02 18:00:00+00,,0.168000,0.104000,0.305000,,0.587000,5134
2019/08/02 19:00:00+00,,0.211000,0.138000,0.280000,,0.492000,5135
2019/08/02 20:00:00+00,,0.177000,0.129000,0.299000,,0.443000,5136
2019/08/02 21:00:00+00,,0.176000,0.128000,0.270000,,0.359000,5137
2019/08/02 22:00:00+00,,0.302000,0.157000,0.256000,,0.454000,5138
2019/08/02 23:00:00+00,,0.315000,0.171000,0.281000,,0.450000,5139
2019/08/03 00:00:00+00,,0.251000,0.165000,0.266000,,0.486000,5140
2019/08/03 01:00:00+00,,0.195000,0.113000,0.230000,,0.274000,5141
2019/08/03 02:00:00+00,,0.155000,0.104000,0.205000,,0.237000,5142
2019/08/03 03:00:00+00,,0.138000,0.093000,0.193000,,0.179000,5143
2019/08/03 04:00:00+00,,0.112000,0.092000,0.194000,,0.210000,5144
2019/08/03 05:00:00+00,,0.113000,0.088000,0.241000,,0.243000,5145
2019/08/03 06:00:00+00,,0.085000,0.077000,0.269000,,0.236000,5146
2019/08/03 07:00:00+00,,0.074000,0.080000,0.246000,,0.303000,5147
2019/08/03 08:00:00+00,,0.057000,0.095000,0.241000,,0.344000,5148
2019/08/03 09:00:00+00,,0.078000,0.098000,0.243000,,0.392000,5149
2019/08/03 10:00:00+00,,0.052000,0.097000,0.283000,,0.394000,5150
2019/08/03 11:00:00+00,,,0.097000,0.257000,,0.432000,5151
2019/08/03 12:00:00+00,,,0.086000,0.250000,,0.362000,5152
2019/08/03 13:00:00+00,,,0.090000,0.294000,,0.400000,5153
2019/08/03 14:00:00+00,,0.216000,0.095000,0.300000,,0.426000,5154
2019/08/03 15:00:00+00,,0.217000,0.089000,0.318000,,0.386000,5155
2019/08/03 16:00:00+00,,0.221000,0.084000,0.287000,,0.427000,5156
2019/08/03 17:00:00+00,,0.195000,0.080000,0.302000,,0.465000,5157
2019/08/03 18:00:00+00,,0.208000,0.089000,0.378000,,0.498000,5158
2019/08/03 19:00:00+00,,0.217000,0.101000,0.350000,,0.460000,5159
2019/08/03 20:00:00+00,,0.186000,0.117000,0.377000,,0.396000,5160
2019/08/03 21:00:00+00,,0.240000,0.131000,0.348000,,0.373000,5161
2019/08/03 22:00:00+00,,0.210000,0.123000,0.320000,,0.493000,5162
2019/08/03 23:00:00+00,,0.186000,0.113000,0.308000,,0.384000,5163
2019/08/04 00:00:00+00,,0.184000,0.102000,0.334000,,0.570000,5164
2019/08/04 01:00:00+00,,0.267000,0.161000,0.298000,,0.653000,5165
2019/08/04 02:00:00+00,,0.276000,0.129000,0.262000,,0.536000,5166
2019/08/04 03:00:00+00,,0.287000,0.129000,0.251000,,0.556000,5167
2019/08/04 04:00:00+00,,0.277000,0.125000,0.218000,,0.439000,5168
2019/08/04 05:00:00+00,,0.276000,0.109000,0.276000,,0.605000,5169
2019/08/04 06:00:00+00,,0.234000,0.136000,0.213000,,0.588000,5170
2019/08/04 07:00:00+00,,0.188000,0.135000,0.222000,,0.345000,5171
2019/08/04 08:00:00+00,,0.195000,0.141000,0.282000,,0.319000,5172
2019/08/04 09:00:00+00,,0.221000,0.168000,0.347000,,0.325000,5173
2019/08/04 10:00:00+00,,0.195000,0.119000,0.388000,,0.305000,5174
2019/08/04 11:00:00+00,,0.181000,0.083000,0.327000,,0.287000,5175
2019/08/04 12:00:00+00,,0.147000,0.082000,0.298000,,0.331000,5176
2019/08/04 13:00:00+00,,0.158000,0.075000,0.311000,,0.316000,5177
2019/08/04 14:00:00+00,,0.184000,0.069000,0.335000,,0.363000,5178
2019/08/04 15:00:00+00,,0.225000,0.064000,0.360000,,0.382000,5179
2019/08/04 16:00:00+00,,0.203000,0.038000,0.313000,,0.377000,5180
2019/08/04 17:00:00+00,,0.191000,0.078000,0.313000,,0.405000,5181
2019/08/04 18:00:00+00,,0.235000,0.092000,0.346000,,0.398000,5182
2019/08/04 19:00:00+00,,0.269000,0.119000,0.284000,,0.473000,5183
2019/08/04 20:00:00+00,,0.343000,0.156000,0.463000,,0.426000,5184
2019/08/04 21:00:00+00,,0.235000,0.134000,0.443000,,0.382000,5185
2019/08/04 22:00:00+00,,0.231000,0.124000,0.503000,,0.400000,5186
2019/08/04 23:00:00+00,,0.204000,0.113000,0.314000,,0.409000,5187
2019/08/05 00:00:00+00,,0.183000,0.110000,0.237000,,0.346000,5188
2019/08/05 01:00:00+00,,0.159000,0.100000,0.158000,,0.126000,5189
2019/08/05 02:00:00+00,,0.226000,0.095000,0.146000,,0.192000,5190
2019/08/05 03:00:00+00,,0.220000,0.099000,0.195000,,0.170000,5191
2019/08/05 04:00:00+00,,0.218000,0.098000,0.261000,,0.193000,5192
2019/08/05 05:00:00+00,,0.199000,0.107000,0.348000,,0.316000,5193
2019/08/05 06:00:00+00,,0.216000,0.117000,0.505000,,0.442000,5194
2019/08/05 07:00:00+00,,0.219000,0.167000,0.574000,,0.461000,5195
2019/08/05 08:00:00+00,,0.254000,0.174000,0.630000,,0.388000,5196
2019/08/05 09:00:00+00,,0.177000,0.146000,0.411000,,0.227000,5197
2019/08/05 10:00:00+00,,0.150000,0.151000,0.386000,,0.184000,5198
2019/08/05 11:00:00+00,,0.177000,0.095000,0.402000,,0.170000,5199
2019/08/05 12:00:00+00,,0.154000,0.064000,0.443000,,0.171000,5200
2019/08/05 13:00:00+00,,0.149000,0.057000,0.443000,,0.178000,5201
2019/08/05 14:00:00+00,,0.192000,0.069000,0.375000,,0.200000,5202
2019/08/05 15:00:00+00,,0.192000,0.073000,0.447000,,0.206000,5203
2019/08/05 16:00:00+00,,0.192000,0.084000,0.530000,,0.258000,5204
2019/08/05 17:00:00+00,,0.175000,0.091000,0.591000,,0.368000,5205
2019/08/05 18:00:00+00,,0.161000,0.108000,0.639000,,0.421000,5206
2019/08/05 19:00:00+00,,0.132000,0.128000,0.594000,,0.305000,5207
2019/08/05 20:00:00+00,,0.126000,0.137000,0.612000,,0.318000,5208
2019/08/05 21:00:00+00,,0.100000,0.131000,0.593000,,0.321000,5209
2019/08/05 22:00:00+00,,0.081000,0.128000,0.317000,,0.235000,5210
2019/08/05 23:00:00+00,,,0.124000,0.279000,,0.231000,5211
2019/08/06 00:00:00+00,,,0.152000,0.274000,,0.281000,5212
2019/08/06 01:00:00+00,,,0.176000,0.190000,,0.225000,5213
2019/08/06 02:00:00+00,,0.175000,0.176000,0.226000,,0.224000,5214
2019/08/06 03:00:00+00,,0.153000,0.176000,0.255000,,0.227000,5215
2019/08/06 04:00:00+00,,0.118000,0.180000,0.355000,,0.263000,5216
2019/08/06 05:00:00+00,,0.125000,0.221000,0.389000,,0.330000,5217
2019/08/06 06:00:00+00,,0.131000,0.208000,0.539000,,0.427000,5218
2019/08/06 07:00:00+00,,0.130000,0.213000,0.652000,,0.455000,5219
2019/08/06 08:00:00+00,,0.105000,0.237000,0.728000,,0.547000,5220
2019/08/06 09:00:00+00,,,0.203000,0.440000,,0.333000,5221
2019/08/06 10:00:00+00,,,0.197000,0.469000,,0.301000,5222
2019/08/06 11:00:00+00,,,0.203000,0.439000,,0.318000,5223
2019/08/06 12:00:00+00,,,0.192000,0.496000,,0.304000,5224
2019/08/06 13:00:00+00,,,0.218000,0.456000,,0.433000,5225
2019/08/06 14:00:00+00,,0.220000,0.248000,0.467000,,0.417000,5226
2019/08/06 15:00:00+00,,0.215000,0.238000,0.439000,,0.328000,5227
2019/08/06 16:00:00+00,,0.215000,0.232000,0.510000,,0.384000,5228
2019/08/06 17:00:00+00,,0.200000,0.235000,0.472000,,0.371000,5229
2019/08/06 18:00:00+00,,0.107000,0.223000,0.597000,,0.379000,5230
2019/08/06 19:00:00+00,,0.130000,0.232000,0.556000,,0.372000,5231
2019/08/06 20:00:00+00,,0.109000,0.221000,0.462000,,0.359000,5232
2019/08/06 21:00:00+00,,0.101000,0.212000,0.405000,,0.172000,5233
2019/08/06 22:00:00+00,,0.102000,0.204000,0.382000,,0.188000,5234
2019/08/06 23:00:00+00,,0.072000,0.195000,0.392000,,0.155000,5235
2019/08/07 00:00:00+00,,,0.189000,0.285000,,0.158000,5236
2019/08/07 01:00:00+00,,,0.101000,0.297000,,0.275000,5237
2019/08/07 02:00:00+00,,0.189000,0.106000,0.249000,,0.223000,5238
2019/08/07 03:00:00+00,,0.198000,0.104000,0.293000,,0.234000,5239
2019/08/07 04:00:00+00,,0.152000,0.104000,0.404000,,0.303000,5240
2019/08/07 05:00:00+00,,0.146000,0.109000,0.478000,,0.369000,5241
2019/08/07 06:00:00+00,,0.153000,0.107000,0.548000,,0.526000,5242
2019/08/07 07:00:00+00,,0.206000,0.128000,0.666000,,0.560000,5243
2019/08/07 08:00:00+00,,0.175000,0.158000,0.852000,,0.621000,5244
2019/08/07 09:00:00+00,,0.148000,0.157000,0.383000,,0.473000,5245
2019/08/07 10:00:00+00,,0.179000,0.142000,0.392000,,0.370000,5246
2019/08/07 11:00:00+00,,0.191000,0.112000,0.503000,,0.377000,5247
2019/08/07 12:00:00+00,,0.166000,0.073000,0.434000,,0.357000,5248
2019/08/07 13:00:00+00,,0.140000,0.060000,0.498000,,0.379000,5249
2019/08/07 14:00:00+00,,0.176000,0.061000,0.384000,,0.345000,5250
2019/08/07 15:00:00+00,,0.173000,0.083000,0.438000,,0.399000,5251
2019/08/07 16:00:00+00,,0.161000,0.088000,0.541000,,0.460000,5252
2019/08/07 17:00:00+00,,0.191000,0.082000,0.565000,,0.561000,5253
2019/08/07 18:00:00+00,,0.150000,0.078000,0.582000,,0.501000,5254
2019/08/07 19:00:00+00,,0.173000,0.082000,0.550000,,0.488000,5255
2019/08/07 20:00:00+00,,0.221000,0.099000,0.509000,,0.564000,5256
2019/08/07 21:00:00+00,,0.187000,0.121000,0.303000,,0.515000,5257
2019/08/07 22:00:00+00,,0.149000,0.104000,0.288000,,0.562000,5258
2019/08/07 23:00:00+00,,0.216000,0.112000,0.288000,,0.611000,5259
2019/08/08 00:00:00+00,,0.203000,0.128000,0.335000,,0.629000,5260
2019/08/08 01:00:00+00,,0.191000,0.236000,0.303000,,0.486000,5261
2019/08/08 02:00:00+00,,0.237000,0.233000,0.266000,,0.390000,5262
2019/08/08 03:00:00+00,,0.216000,0.167000,0.451000,,0.305000,5263
2019/08/08 04:00:00+00,,0.204000,0.153000,0.356000,,0.337000,5264
2019/08/08 05:00:00+00,,0.241000,0.206000,0.389000,,0.470000,5265
2019/08/08 06:00:00+00,,0.279000,0.212000,0.470000,,0.669000,5266
2019/08/08 07:00:00+00,,0.271000,0.201000,0.694000,,0.578000,5267
2019/08/08 08:00:00+00,,0.283000,0.236000,0.753000,,0.556000,5268
2019/08/08 09:00:00+00,,0.285000,0.187000,0.544000,,0.399000,5269
2019/08/08 10:00:00+00,,0.194000,0.138000,0.449000,,0.320000,5270
2019/08/08 11:00:00+00,,0.142000,0.095000,0.470000,,0.320000,5271
2019/08/08 12:00:00+00,,0.123000,0.082000,0.401000,,0.356000,5272
2019/08/08 13:00:00+00,,0.111000,0.120000,0.429000,,0.361000,5273
2019/08/08 14:00:00+00,,0.180000,0.079000,0.381000,,0.373000,5274
2019/08/08 15:00:00+00,,0.183000,0.101000,0.493000,,0.401000,5275
2019/08/08 16:00:00+00,,0.175000,0.077000,0.503000,,0.463000,5276
2019/08/08 17:00:00+00,,0.200000,0.114000,0.558000,,0.515000,5277
2019/08/08 18:00:00+00,,0.200000,0.160000,0.595000,,0.499000,5278
2019/08/08 19:00:00+00,,0.260000,0.151000,0.430000,,0.416000,5279
2019/08/08 20:00:00+00,,0.199000,0.166000,0.371000,,0.404000,5280
2019/08/08 21:00:00+00,,0.217000,0.194000,0.349000,,0.413000,5281
2019/08/08 22:00:00+00,,0.149000,0.229000,0.395000,,0.444000,5282
2019/08/08 23:00:00+00,,0.109000,0.223000,0.452000,,0.441000,5283
2019/08/09 00:00:00+00,,,0.177000,0.373000,,0.376000,5284
2019/08/09 01:00:00+00,,,0.284000,0.278000,,0.310000,5285
