,PA01H:CO,AUB:CO,PA04C:CO,A1:CO,BASCH:CO,AUT:CO,OBJECTID
,PARIS 1er Les Halles,AUBERVILLIERS,Paris Centre,Autoroute A1 - Saint-Denis,Place Victor Basch,Boulevard Péripherique Auteuil,0
,PA01H,AUB,PA04C,A1,BASCH,AUT,1
,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,2
,CO,CO,CO,CO,CO,CO,3
,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,4
2019/01/08 00:00:00+00,,0.192000,0.266000,0.340000,,0.308000,172
2019/01/08 01:00:00+00,,0.155000,0.201000,0.212000,,0.218000,173
2019/01/08 02:00:00+00,,0.147000,0.186000,0.222000,,0.225000,174
2019/01/08 03:00:00+00,,0.142000,0.178000,0.225000,,0.210000,175
2019/01/08 04:00:00+00,,0.146000,0.171000,0.269000,,0.201000,176
2019/01/08 05:00:00+00,,0.153000,0.177000,0.400000,,0.249000,177
2019/01/08 06:00:00+00,,0.176000,0.198000,0.354000,,0.339000,178
2019/01/08 07:00:00+00,,0.164000,0.240000,0.464000,,0.509000,179
2019/01/08 08:00:00+00,,0.195000,0.231000,0.456000,,0.813000,180
2019/01/08 09:00:00+00,,0.170000,0.258000,0.418000,,0.856000,181
2019/01/08 10:00:00+00,,0.168000,0.208000,0.433000,,0.495000,182
2019/01/08 11:00:00+00,,0.160000,0.204000,0.381000,,0.468000,183
2019/01/08 12:00:00+00,,0.153000,0.199000,0.378000,,0.472000,184
2019/01/08 13:00:00+00,,0.140000,0.190000,0.340000,,0.422000,185
2019/01/08 14:00:00+00,,0.133000,0.179000,0.311000,,0.479000,186
2019/01/08 15:00:00+00,,0.141000,0.183000,0.264000,,0.489000,187
2019/01/08 16:00:00+00,,0.145000,0.200000,0.313000,,0.538000,188
2019/01/08 17:00:00+00,,0.154000,0.210000,0.335000,,0.831000,189
2019/01/08 18:00:00+00,,0.177000,0.264000,0.419000,,1.053000,190
2019/01/08 19:00:00+00,,0.185000,0.271000,0.368000,,0.910000,191
2019/01/08 20:00:00+00,,0.183000,0.269000,0.457000,,0.698000,192
2019/01/08 21:00:00+00,,0.184000,0.246000,0.452000,,0.580000,193
2019/01/08 22:00:00+00,,0.195000,0.222000,0.404000,,0.485000,194
2019/01/08 23:00:00+00,,0.165000,0.219000,0.299000,,0.442000,195
2019/01/09 00:00:00+00,,0.145000,0.171000,0.277000,,0.304000,196
2019/01/09 01:00:00+00,,0.116000,0.234000,0.278000,,0.199000,197
2019/01/09 02:00:00+00,,0.110000,0.220000,0.231000,,0.163000,198
2019/01/09 03:00:00+00,,0.096000,0.231000,0.194000,,0.143000,199
2019/01/09 04:00:00+00,,0.094000,0.211000,0.203000,,0.156000,200
2019/01/09 05:00:00+00,,0.101000,0.215000,0.248000,,0.185000,201
2019/01/09 06:00:00+00,,0.113000,0.225000,0.356000,,0.261000,202
2019/01/09 07:00:00+00,,0.132000,0.252000,0.346000,,0.480000,203
2019/01/09 08:00:00+00,,0.138000,0.288000,0.420000,,0.690000,204
2019/01/09 09:00:00+00,,0.145000,0.289000,0.360000,,0.789000,205
2019/01/09 10:00:00+00,,0.125000,0.277000,0.288000,,0.544000,206
2019/01/09 11:00:00+00,,0.134000,0.266000,0.274000,,,207
2019/01/09 12:00:00+00,,0.132000,0.275000,0.306000,,0.491000,208
2019/01/09 13:00:00+00,,0.127000,0.273000,0.305000,,0.460000,209
2019/01/09 14:00:00+00,,,0.261000,0.316000,,0.444000,210
2019/01/09 15:00:00+00,,,0.254000,0.280000,,0.457000,211
2019/01/09 16:00:00+00,,,0.276000,0.347000,,0.566000,212
2019/01/09 17:00:00+00,,,0.330000,0.422000,,0.867000,213
2019/01/09 18:00:00+00,,,0.326000,0.488000,,1.078000,214
2019/01/09 19:00:00+00,,,0.330000,0.437000,,0.964000,215
2019/01/09 20:00:00+00,,,0.358000,0.367000,,0.732000,216
2019/01/09 21:00:00+00,,,0.338000,0.392000,,0.578000,217
2019/01/09 22:00:00+00,,,0.344000,0.325000,,0.635000,218
2019/01/09 23:00:00+00,,,0.337000,0.319000,,1.063000,219
2019/01/10 00:00:00+00,,,0.297000,0.267000,,0.608000,220
2019/01/10 01:00:00+00,,,0.211000,0.209000,,0.318000,221
2019/01/10 02:00:00+00,,,0.206000,0.212000,,0.253000,222
2019/01/10 03:00:00+00,,,0.211000,0.241000,,0.206000,223
2019/01/10 04:00:00+00,,,0.215000,0.259000,,0.208000,224
2019/01/10 05:00:00+00,,,0.209000,0.289000,,0.281000,225
2019/01/10 06:00:00+00,,,0.237000,0.383000,,0.611000,226
2019/01/10 07:00:00+00,,,0.259000,0.489000,,0.908000,227
2019/01/10 08:00:00+00,,,0.286000,0.739000,,0.835000,228
2019/01/10 09:00:00+00,,,0.402000,0.791000,,0.666000,229
2019/01/10 10:00:00+00,,,0.330000,0.567000,,0.579000,230
2019/01/10 11:00:00+00,,,0.262000,0.481000,,0.556000,231
2019/01/10 12:00:00+00,,,0.286000,0.470000,,0.677000,232
2019/01/10 13:00:00+00,,,0.252000,0.370000,,0.599000,233
2019/01/10 14:00:00+00,,,0.243000,0.359000,,0.412000,234
2019/01/10 15:00:00+00,,,0.230000,0.363000,,0.475000,235
2019/01/10 16:00:00+00,,,0.229000,0.382000,,0.600000,236
2019/01/10 17:00:00+00,,,0.244000,0.513000,,0.859000,237
2019/01/10 18:00:00+00,,,0.289000,0.617000,,1.118000,238
2019/01/10 19:00:00+00,,,0.314000,0.573000,,0.663000,239
2019/01/10 20:00:00+00,,,0.321000,0.473000,,0.582000,240
2019/01/10 21:00:00+00,,,0.252000,0.390000,,0.419000,241
2019/01/10 22:00:00+00,,,0.240000,0.341000,,0.372000,242
2019/01/10 23:00:00+00,,,0.194000,0.322000,,0.390000,243
2019/01/11 00:00:00+00,,,0.186000,0.277000,,0.435000,244
2019/01/11 01:00:00+00,,,0.224000,0.299000,,0.466000,245
2019/01/11 02:00:00+00,,,0.273000,0.374000,,0.418000,246
2019/01/11 03:00:00+00,,,0.282000,0.539000,,0.383000,247
2019/01/11 04:00:00+00,,,0.304000,0.425000,,0.284000,248
2019/01/11 05:00:00+00,,,0.295000,0.565000,,0.344000,249
2019/01/11 06:00:00+00,,,0.281000,0.621000,,0.456000,250
2019/01/11 07:00:00+00,,,0.285000,0.755000,,0.680000,251
2019/01/11 08:00:00+00,,,0.359000,1.023000,,1.049000,252
2019/01/11 09:00:00+00,,,0.429000,1.008000,,1.314000,253
2019/01/11 10:00:00+00,,,0.403000,0.707000,,0.687000,254
2019/01/11 11:00:00+00,,,0.409000,0.716000,,0.609000,255
2019/01/11 12:00:00+00,,,0.439000,0.692000,,0.758000,256
2019/01/11 13:00:00+00,,,0.425000,0.600000,,0.667000,257
2019/01/11 14:00:00+00,,,0.412000,0.608000,,0.688000,258
2019/01/11 15:00:00+00,,,0.367000,0.607000,,0.769000,259
2019/01/11 16:00:00+00,,,0.409000,0.740000,,0.894000,260
2019/01/11 17:00:00+00,,,0.400000,0.863000,,1.047000,261
2019/01/11 18:00:00+00,,,0.401000,1.004000,,1.043000,262
2019/01/11 19:00:00+00,,,0.447000,0.678000,,0.956000,263
2019/01/11 20:00:00+00,,,0.373000,0.544000,,0.796000,264
2019/01/11 21:00:00+00,,,0.345000,0.504000,,0.681000,265
2019/01/11 22:00:00+00,,,0.355000,0.502000,,0.624000,266
2019/01/11 23:00:00+00,,,0.328000,0.430000,,0.593000,267
2019/01/12 00:00:00+00,,,0.287000,0.546000,,0.553000,268
2019/01/12 01:00:00+00,,,0.287000,0.436000,,0.469000,269
2019/01/12 02:00:00+00,,,0.328000,0.485000,,0.375000,270
2019/01/12 03:00:00+00,,,0.294000,0.446000,,0.308000,271
2019/01/12 04:00:00+00,,,0.308000,0.422000,,0.278000,272
2019/01/12 05:00:00+00,,,0.308000,0.407000,,0.285000,273
2019/01/12 06:00:00+00,,,0.301000,0.426000,,0.292000,274
2019/01/12 07:00:00+00,,,0.281000,0.355000,,0.338000,275
2019/01/12 08:00:00+00,,,0.275000,0.449000,,0.462000,276
2019/01/12 09:00:00+00,,,0.286000,0.455000,,0.525000,277
2019/01/12 10:00:00+00,,,0.315000,0.542000,,0.553000,278
2019/01/12 11:00:00+00,,,0.313000,0.433000,,0.494000,279
2019/01/12 12:00:00+00,,,0.287000,0.456000,,0.490000,280
2019/01/12 13:00:00+00,,,0.288000,0.506000,,0.483000,281
2019/01/12 14:00:00+00,,,0.280000,0.541000,,0.507000,282
